"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
1119076.46894779,11.8262512884103,10.9551650076173,11.9130851665977,8.70658455532975,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1
3678322.95726439,12.1213633622974,12.4399138377048,8.94760791491717,12.4803682914935,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1312312.42300865,6.97553217737004,6.90219587041065,6.88990614493378,9.30284459562972,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
594242.886675398,8.23821482714266,10.4019877398387,12.1111690616235,7.73830904392526,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3374347.73395488,10.1378040593117,11.1958614296746,8.99744572094642,7.90205130982213,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
38639.0690625208,7.10053767706268,6.18586938874796,11.7133964323439,10.4635059146676,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1
2080883.56761101,10.6296738546807,7.29329727450386,11.9615556690842,8.62502283370122,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1
1606923.42805083,9.67738545779139,9.78289652452804,11.4414134130348,9.60258024791256,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
1725431.74884467,7.68141381512396,6.34483648557216,8.03679645713419,8.44315160810947,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0
763011.616017875,11.9311835672706,7.3305381773971,10.1171513807494,12.615943110548,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
1314847.46371444,10.819602558855,9.51487201661803,7.79398458148353,7.73863714188337,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1
1384768.6796255,11.0170801253989,6.27176542440429,6.60835040197708,6.95171573059633,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
186391.92066416,6.53308907221071,10.2375966431573,11.6977473022416,6.30911741871387,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0
2999171.61189572,12.7734773673583,6.93380149570294,12.5200056051835,6.14009373565204,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
1802402.03370819,11.684691837756,12.9180404667277,10.0231585896108,11.6938662445173,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
3479661.18417088,9.81193314492702,8.47105594258755,12.7256243119482,9.00044569117017,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
1414026.07731837,9.01439121365547,10.9909198407549,12.3683422401082,7.91946932161227,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1
983842.666038968,7.59475701465271,6.13754430320114,6.60949137154967,10.0020968031604,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1
